RANK,GAME
10,The Legend of Zelda: Ocarina of Time
9,Dragon Warrior VII
8,Final Fantasy III
7,Tactics Ogre
6,Final Fantasy IV
5,Machi
4,Dragon Quest VIII: Journey of the Cursed King
3,Dragon Warrior III
2,Final Fantasy VII
1,Final Fantasy X
