RANK,GAME,WEIGHTED_POINTS
10,Metal Gear Solid,0.1
9,Ico,0.111111111
8,GoldenEye 007,0.125
7,Gran Turismo 4,0.142857143
6,Halo 2,0.166666667
5,Grand Theft Auto: San Andreas,0.2
4,Super Mario 64,0.25
3,Half-Life 2,0.333333333
2,The Legend of Zelda: Ocarina of Time,0.5
1,The Sims 2,1
,,
LIST_YEAR,,
2005,,
