RANK,GAME,WEIGHTED_POINTS
10,Street Fighter II,0.100000000
9,Final Fantasy IV,0.111111111
8,X-COM: UFO Defense,0.125000000
7,StarCraft,0.142857143
6,The Legend of Zelda: A Link to the Past,0.166666667
5,Super Mario 64,0.200000000
4,Tetris,0.250000000
3,Super Metroid,0.333333333
2,The Legend of Zelda: Ocarina of Time,0.500000000
1,Super Mario Bros.,1.000000000
,,
LIST_YEAR,,
2003,,
