RANK,GAME,WEIGHTED_POINTS
10,Super Mario World,0.100000000
9,Half-Life,0.111111111
8,Street Fighter II,0.125000000
7,The Legend of Zelda: A Link to the Past,0.142857143
6,Quake II,0.166666667
5,Gran Turismo 2,0.200000000
4,Tetris,0.250000000
3,GoldenEye 007,0.333333333
2,Super Mario 64,0.500000000
1,The Legend of Zelda: Ocarina of Time,1.000000000
,,
LIST_YEAR,,
2000,,
