RANK,GAME,WEIGHTED_POINTS
10,Pong,0.100000000
9,Grand Theft Auto III,0.111111111
8,The Legend of Zelda: Ocarina of Time,0.125000000
7,Space Invaders,0.142857143
6,Super Mario 64,0.166666667
5,The Legend of Zelda,0.200000000
4,Tetris,0.250000000
3,Street Fighter II,0.333333333
2,Pac-Man,0.500000000
1,Super Mario Bros.,1.000000000
,,
LIST_YEAR,,
2005,,
