RANK,GAME,WEIGHTED_POINTS
10,Saturn Bomberman,0.100000000
9,Final Fantasy VI,0.111111111
8,Contra III: Alien Wars,0.125000000
7,Super Mario World 2: Yoshi's Island,0.142857143
6,Super Metroid,0.166666667
5,Street Fighter II,0.200000000
4,Super Mario 64,0.250000000
3,The Legend of Zelda: A Link to the Past,0.333333333
2,Super Mario Bros. 3,0.500000000
1,Tetris,1.000000000
,,
LIST_YEAR,,
1997,,
