RANK,GAME,WEIGHTED_POINTS
10,Super Smash Bros. Melee,0.100000000
9,Halo 2,0.111111111
8,Metal Gear Solid,0.125000000
7,Street Fighter II,0.142857143
6,Super Mario Bros. 3,0.166666667
5,The Legend of Zelda: Ocarina of Time,0.200000000
4,Super Mario 64,0.250000000
3,Final Fantasy VII,0.333333333
2,GoldenEye 007,0.500000000
1,Resident Evil 4,1.000000000
,,
LIST_YEAR,,
2005,,
