PUBLICATION,GAME,NOTES
thegamer.com,Super Metroid,
EGM,Donkey Kong Country,
Game Informer,Donkey Kong Country,
PowerupGaming,Sonic the Hedgehog 3,*Listed as Sonic 3 & Knuckles
PowerupGaming,Sonic & Knuckles,*Listed as Sonic 3 & Knuckles
