PUBLICATION,GAME
EGM,Samurai Shodown
Game Informer,Mortal Kombat
Electronic Gaming Awards,Street Fighter II: Turbo
Electronic Gaming Awards,Mortal Kombat
Electronic Gaming Awards,Aladdin (Genesis)
Electronic Gaming Awards,Sonic Spinball
Electronic Gaming Awards,Bubsy Bobcat
Electronic Gaming Awards,Rock & Roll Racing
