RANK,GAME,NOTES
10,Tomb Raider (2013),
9,Pokemon X and Y,
8,Ni no Kuni,
7,Disgaea D2: A Brighter Darkness,
6,Beyond: Two Souls,
5,Assassin's Creed IV: Black Flag,
4,Grand Theft Auto V,
3,The Stanley Parable,
2,BioShock Infinite,
1,The Last of Us,
