RANK,GAME,
5,Everything,*List is unordered
5,Gorogoa,
5,Horizon: Zero Dawn,
5,Night in the Woods,
5,PlayerUnknown's Battlegrounds,
5,Prey (2017),
5,Pyre,
5,What Remains of Edith Finch,
5,Yakuza 0,
5,The Legend of Zelda: Breath of the Wild,
